date,time,close,high,low,open
09-01-2015,09:15:00,8301,8303,8285.45,8285.45
09-01-2015,09:25:00,8288.5,8302.55,8280.65,8301.65
09-01-2015,09:35:00,8285.55,8290.45,8277.4,8289.1
09-01-2015,09:45:00,8276.25,8287.65,8273.95,8285.4
09-01-2015,09:55:00,8285.5,8287.35,8275.05,8275.95
09-01-2015,10:05:00,8281.55,8286.4,8274.95,8285.55
09-01-2015,10:15:00,8287.5,8287.9,8277.95,8281.5
09-01-2015,10:25:00,8288.25,8291.45,8286.2,8287.5
09-01-2015,10:35:00,8281.35,8289.15,8280.45,8288.1
09-01-2015,10:45:00,8284.65,8285.75,8279.1,8281.3
09-01-2015,10:55:00,8288,8288.85,8282.3,8285
09-01-2015,11:05:00,8282.35,8288.1,8279.9,8287.95
09-01-2015,11:15:00,8266.55,8283.2,8266.55,8282.55
09-01-2015,11:25:00,8255.55,8270.15,8250.2,8267.05
09-01-2015,11:35:00,8255.65,8261.2,8250.55,8255.85
09-01-2015,11:45:00,8257.65,8260.7,8253.3,8255.95
09-01-2015,11:55:00,8211.5,8260.3,8211.2,8257.3
09-01-2015,12:05:00,8221.85,8226,8191.1,8211.15
09-01-2015,12:15:00,8219.95,8226.9,8208.9,8222.85
09-01-2015,12:25:00,8209.25,8225.55,8198.4,8220.75
09-01-2015,12:35:00,8213.5,8214.2,8201,8209.5
09-01-2015,12:45:00,8245,8252.85,8205.7,8214.5
09-01-2015,12:55:00,8259.35,8271.65,8230.55,8245.7
09-01-2015,13:05:00,8245.85,8272.6,8245.85,8258.7
09-01-2015,13:15:00,8236.75,8249.45,8228.55,8246.7
09-01-2015,13:25:00,8247.7,8249.65,8230.95,8233.8
09-01-2015,13:35:00,8244.1,8251.65,8236.55,8245.3
09-01-2015,13:45:00,8230.75,8245.35,8230.55,8244.45
09-01-2015,13:55:00,8220.4,8231.35,8204.75,8231.05
09-01-2015,14:05:00,8225.2,8240.5,8219.55,8220
09-01-2015,14:15:00,8236.75,8250,8224.75,8224.75
09-01-2015,14:25:00,8237.3,8246.75,8230.65,8236.9
09-01-2015,14:35:00,8252.55,8257.3,8237.1,8237.35
09-01-2015,14:45:00,8275.95,8280.7,8249.3,8252.4
09-01-2015,14:55:00,8271.85,8277.75,8263.15,8275.05
09-01-2015,15:05:00,8285.7,8296.35,8270.05,8272.15
09-01-2015,15:15:00,8286.35,8288.05,8279.4,8286.3
09-01-2015,15:25:00,8280.25,8286.65,8278.05,8286.65
12-01-2015,09:15:00,8257.95,8291.35,8245.6,8291.35
12-01-2015,09:25:00,8262.85,8268.9,8254.45,8257.85
12-01-2015,09:35:00,8271.1,8271.25,8256.35,8263.1
12-01-2015,09:45:00,8274.6,8283.7,8265.1,8271.05
12-01-2015,09:55:00,8281.5,8292.7,8272.9,8274.5
12-01-2015,10:05:00,8284.1,8288.05,8273.45,8281.1
12-01-2015,10:15:00,8293.15,8296.5,8283.1,8283.5
12-01-2015,10:25:00,8288.05,8297.3,8287.8,8292.95
